rv0001	36.29	334	372	0.7547
rv0002	35.32	121	149	0.7495
rv0003	24.42	217	239	0.7245
rv0004	65.24	1	92	0.8576
rv0005	37.93	409	468	0.8074
rv0006	41.17	116	157	0.725
rv0007	63.16	93	196	0.8976
rv0008c	53.10	43	87	0.7017
rv0009	18.13	150	173	0.7302
rv0010c	36.88	1	25	0.6117
rv0011c	23.66	1	19	0.7477
rv0012	30.15	99	122	0.7251
rv0013	25.43	211	232	0.7746
rv0014c	47.28	258	310	0.7535
rv0015c	55.22	269	331	0.917
rv0016c	43.79	352	397	0.6984
rv0017c	9.81	441	461	0.8448
rv0018c	58.56	411	511	0.9457
rv0019c	25.81	42	57	0.7669
rv0020c	45.73	260	355	0.9007
rv0021c	25.16	129	153	0.6818
rv0022c	48.20	103	139	0.7169
rv0023	39.45	32	69	0.673
rv0024	47.69	99	148	0.8352
rv0025	36.67	94	120	0.7154
rv0026	60.04	239	378	0.9059
rv0027	15.24	93	105	0.703
rv0028	50.50	29	48	0.7266
rv0029	31.51	248	273	0.8568
rv0030	52.29	1	34	0.6953
rv0031	31.43	54	70	0.8855
rv0032	24.64	170	201	0.6814
rv0033	14.94	77	86	0.7213
rv0034	28.24	89	99	0.569
rv0035	28.83	328	391	0.6451
rv0036c	19.84	63	89	0.6169
rv0037c	13.38	152	164	0.7035
rv0038	16.83	4	16	0.6809
rv0039c	28.70	33	62	0.8214
rv0040c	45.48	30	121	0.9329
rv0041	27.76	542	582	0.8218
rv0042c	43.27	175	208	0.8741
rv0043c	34.43	89	114	0.7262
rv0044c	29.55	140	170	0.7882
rv0045c	40.94	1	37	0.7232
rv0046c	23.43	329	361	0.7887
rv0047c	46.67	47	79	0.731
rv0048c	29.41	125	145	0.7179
rv0049	26.28	110	137	0.9457
rv0050	38.79	616	678	0.966
rv0051	9.64	531	557	0.6397
rv0052	27.27	136	173	0.7948
rv0053	42.71	69	85	0.6434
rv0054	53.66	70	115	0.7418
rv0055	48.81	1	21	0.9074
rv0056	30.26	42	71	0.8274
rv0057	24.86	27	38	0.6571
rv0058	39.47	1	38	0.8483
rv0059	26.96	46	77	0.7614
rv0060	16.48	318	343	0.8557
rv0061c	35.71	89	112	0.861
rv0062	32.89	296	336	0.7564
rv0063	20.04	135	178	0.7336
rv0064	27.78	904	958	0.895
rv0066c	35.30	35	73	0.625
rv0067c	25.40	111	129	0.743
rv0068	36.30	197	245	0.7423
rv0069c	35.57	333	380	0.7665
rv0070c	17.18	21	46	0.7499
rv0071	56.60	4	85	0.7946
rv0072	26.07	107	145	0.7898
rv0073	31.82	105	131	0.7465
rv0074	26.03	130	146	0.7408
rv0075	18.21	74	88	0.7859
rv0076c	51.16	12	62	0.6985
rv0077c	19.93	56	75	0.6786
rv0078	40.30	1	20	0.8076
rv0078a	34.01	102	125	0.764
rv0078b	55.88	45	64	0.7035
rv0079	34.07	104	149	0.8645
rv0080	27.63	1	21	0.7815
rv0081	49.12	34	68	0.6241
rv0082	32.70	16	35	0.8094
rv0083	20.16	201	219	0.8153
rv0084	21.84	194	217	0.6425
rv0085	13.18	206	220	0.8415
rv0086	9.02	436	466	0.8841
rv0087	26.22	400	423	0.6922
rv0088	41.96	48	87	0.7669
rv0089	4.06	149	156	0.6889
rv0090	14.84	230	249	0.6548
rv0091	14.12	187	199	0.6589
rv0092	24.44	590	624	0.6603
rv0093c	32.98	100	129	0.837
rv0094c	27.44	1	19	0.6357
rv0095c	37.50	96	114	0.6268
rv0096	53.35	264	388	0.8849
rv0097	26.30	136	166	0.8054
rv0098	28.42	13	29	0.6519
rv0099	41.30	119	178	0.7595
rv0100	11.54	51	59	0.6272
rv0101	23.41	139	205	0.7649
rv0102	18.15	298	325	0.8985
rv0103c	25.27	456	500	0.801
rv0104	14.88	244	271	0.7865
rv0105c	77.66	16	80	0.8966
rv0106	22.36	217	234	0.723
rv0107c	45.16	14	89	0.7942
rv0108c	46.38	32	48	0.5661
rv0109	73.19	153	261	0.8093
rv0110	9.64	23	32	0.6655
rv0111	27.15	393	464	0.8801
rv0112	20.13	119	142	0.6896
rv0113	11.22	139	154	0.6391
rv0114	31.05	108	118	0.6674
rv0115	27.98	263	296	0.7539
rv0116c	29.48	21	50	0.8998
rv0117	26.75	274	289	0.7453
rv0118c	33.85	530	582	0.7062
rv0119	37.71	327	364	0.7665
rv0120c	36.69	196	251	0.7838
rv0121c	26.39	47	70	0.7902
rv0122	24.59	47	69	0.8829
rv0123	84.43	24	79	0.8149
rv0124	82.75	86	356	0.8835
rv0125	52.96	132	200	0.8661
rv0127	28.57	1	29	0.783
rv0128	20.85	221	259	0.8011
rv0129c	25.00	216	239	0.6609
rv0130	26.49	106	141	0.6727
rv0131c	19.91	141	159	0.6506
rv0132c	15.83	25	45	0.876
rv0133	20.90	1	17	0.8028
rv0134	19.33	70	83	0.6624
rv0135c	29.85	171	201	0.6701
rv0136	33.33	183	215	0.8574
rv0137c	29.12	27	49	0.8184
rv0138	32.34	95	113	0.6739
rv0139	31.76	230	266	0.6577
rv0140	13.49	8	21	0.5568
rv0141c	39.71	46	83	0.712
rv0142	27.92	284	306	0.7013
rv0143c	23.17	310	332	0.702
rv0144	40.00	31	97	0.8759
rv0145	16.09	33	48	0.6258
