rv2703	F
rv0983	A
rv0931c	A
rv3682	A
rv1821	A
rv0581	A
rv1743	A
rv3414c	A
rv0432	A
rv2115c	A
rv3868	A
rv3869	A
rv0934	A
rv1980c	A
rv0410c	A
rv1991c	A
rv2711	A
rv0757	A
rv0624	A
rv2941	A
rv0899	A
rv2027c	A
rv3132c	A
rv3568c	A
rv3849	A
rv1908c	A
rv2865	A
rv2224c	A
rv3874	A
rv3357	A
rv0626	A
rv0623	B
rv2246	A
rv3358	C
rv3671c	A
